,Polarity,Subjectivity,TopWord,TopWordFreq,TotalWord
0,0.06644792876500187,0.3810869144405731,gun,53.0,4067.0
1,0.1736485231939778,0.4728435705708434,people,35.0,1962.0
2,-0.005769230769230759,0.3961538461538462,school,7.0,205.0
3,-0.022727272727272728,0.16742424242424245,el,4.0,158.0
4,0.036242604617604625,0.40215873015873016,us,8.0,975.0
5,0.07820228256591892,0.4002904368358913,school,16.0,938.0
6,0.06315089672232528,0.4614460935889505,data,9.0,1021.0
7,0.030753413253413266,0.4592431642431641,even,8.0,1295.0
8,0.1259099398212301,0.515185814782589,like,21.0,2554.0
9,0.08085817262447695,0.4484623166688382,power,27.0,2206.0
10,0.051874458874458865,0.372926406926407,march,26.0,3575.0
11,-0.048884810841332574,0.35567367415193496,police,7.0,437.0
12,0.11060283518252681,0.4744797108061886,amd,69.0,4670.0
13,0.07619621383907098,0.34906094963237816,gun,46.0,1487.0
14,-0.0577962481962482,0.43696507936507945,people,3.0,295.0
15,0.17973333333333336,0.5677333333333333,shaw,8.0,464.0
16,0.1774047619047619,0.43507936507936507,gun,10.0,329.0
17,0.12365306122448985,0.5688185941043084,daughter,10.0,476.0
18,0.04273685515873016,0.43555555555555553,month,4.0,313.0
19,0.22125239463601531,0.62088122605364,rob,17.0,581.0
